,Book title,Publication year,Number of pages,Film title,Year of release,Duration in minutes,Film rating,Pages per minute
0,"A transcription and analysis of Jane Austen's last work, Sanditon",1995,181,Sanditon,2014.0,120.0,8.0,1.508
1,Austenland,2013,196,Austenland,2013.0,97.0,6.3,2.021
2,Brodie's notes on Jane Austen's Mansfield Park,1992,96,Mansfield Park,1999.0,112.0,7.1,0.857
3,Companion to Persuasion,1986,80,Persuasion,2007.0,93.0,7.5,0.86
4,Emma,1876,419,Emma,1932.0,72.0,7.0,5.819
5,Emma. Abridgement,1921,128,Emma,1932.0,72.0,7.0,1.778
6,Evelyn,1951,133,Evelyn,2002.0,94.0,7.0,1.415
7,Fragment of a novel,1925,170,Sanditon,2014.0,120.0,8.0,1.417
8,Jane Austen's Northanger Abbey,1997,90,Northanger Abbey,2007.0,84.0,7.3,1.071
9,Jane Austen's Persuasion,2004,285,Persuasion,2007.0,93.0,7.5,3.065
10,Jane Austen's Pride and Prejudice,2017,96,Jane Austen's Pride and Prejudice,2020.0,262.0,,0.366
11,"Jane Austen, Mansfield Park : notes",1983,78,Mansfield Park,1999.0,112.0,7.1,0.696
12,Ladysmead,1984,205,Mansfield Park,1999.0,112.0,7.1,1.83
13,Mansfield Park : a comedy in three acts,1977,72,Mansfield Park,1999.0,112.0,7.1,0.643
14,Mansfield Park : a dramatization by Willis Hall from the novel by Jane Austen,1994,97,Mansfield Park,1999.0,112.0,7.1,0.866
15,Mansfield Park,1846,332,Mansfield Park,1999.0,112.0,7.1,2.964
16,Mansfield Park. Dutch,1984,382,Mansfield Park,1999.0,112.0,7.1,3.411
17,Mansfield Park. French,1981,510,Mansfield Park,1999.0,112.0,7.1,4.554
18,Mansfield Park. German,1989,536,Mansfield Park,1999.0,112.0,7.1,4.786
19,Mansfield letters,1996,170,Mansfield Park,1999.0,112.0,7.1,1.518
20,Memoir of Jane Austen,1985,399,Persuasion,2007.0,93.0,7.5,4.29
21,"Miss Abigail's part, or, Version and diversion",1986,328,Mansfield Park,1999.0,112.0,7.1,2.929
22,Mrs Rushworth,1989,331,Mansfield Park,1999.0,112.0,7.1,2.955
23,Northanger Abbey : Persuasion,1833,440,Persuasion,2007.0,93.0,7.5,4.731
24,"Northanger Abbey : a comedy in three acts, based upon Jane Austen's novel",1950,63,Northanger Abbey,2007.0,84.0,7.3,0.75
25,Northanger Abbey : a novel,1870,429,Persuasion,2007.0,93.0,7.5,4.613
26,Northanger Abbey : a play in three acts,1950,129,Northanger Abbey,2007.0,84.0,7.3,1.536
27,Northanger Abbey : and Persuasion,1850,288,Persuasion,2007.0,93.0,7.5,3.097
28,"Northanger Abbey : and, Persuaision",1953,379,Persuasion,2007.0,93.0,7.5,4.075
29,"Northanger Abbey : and, Persuasion",1897,444,Persuasion,2007.0,93.0,7.5,4.774
30,Northanger Abbey,1895,223,Northanger Abbey,2007.0,84.0,7.3,2.655
31,Northanger Abbey. French,1980,241,Northanger Abbey,2007.0,84.0,7.3,2.869
32,Novels. Selections,1987,863,Northanger Abbey,2007.0,84.0,7.3,10.274
33,Persuasion : notes,1980,72,Persuasion,2007.0,93.0,7.5,0.774
34,Persuasion by Jane Austen,1987,96,Persuasion,2007.0,93.0,7.5,1.032
35,Persuasion,1909,216,Persuasion,2007.0,93.0,7.5,2.323
36,"Persuasion, by Jane Austen : a screenplay",1996,92,Persuasion,2007.0,93.0,7.5,0.989
37,Persuasion. French,1980,254,Persuasion,2007.0,93.0,7.5,2.731
38,Pride and Prejudice,1906,397,Pride and Prejudice,1940.0,118.0,7.4,3.364
39,Pride and prejudice,2017,96,Jane Austen's Pride and Prejudice,2020.0,262.0,,0.366
40,Sanditon : an unfinished novel by Jane Austen,2002,347,Sanditon,2014.0,120.0,8.0,2.892
41,Sanditon,1997,316,Sanditon,2014.0,120.0,8.0,2.633
42,Sense & Sensibility,2012,284,Sense & Sensibility,2014.0,165.0,5.7,1.721
43,Sense and sensibility,1987,863,Northanger Abbey,2007.0,84.0,7.3,10.274
44,"Somehow lengthened : a development of 'Sanditon,' Jane Austen's fragmentary last novel",1932,316,Sanditon,2014.0,120.0,8.0,2.633
45,"Susan Price ; or, Resolution",1930,228,Mansfield Park,1999.0,112.0,7.1,2.036
46,The Castle of Otranto,1963,543,Northanger Abbey,2007.0,84.0,7.3,6.464
47,The Sentence,2008,218,The Sentence,2018.0,85.0,6.7,2.565
48,The reluctant baronet,1998,191,Mansfield Park,1999.0,112.0,7.1,1.705
49,The youngest Miss Ward,1998,317,Mansfield Park,1999.0,112.0,7.1,2.83
50,Uninvited guests,1994,171,Northanger Abbey,2007.0,84.0,7.3,2.036
51,Watsons,1974,222,Sanditon,2014.0,120.0,8.0,1.85
52,writer of introduction,1901,273,Northanger Abbey,2007.0,84.0,7.3,3.25
